Course, Description
BIO544,This course is designed to provide an introduction to the emerging science of Computational Gastronomy; a blend of food; data science and computational techniques. Following are the specific objectives that the course aims to fulfil: (a) Introduction to the science of food; (b) Exposition to culinary data; (c) Analysis and visualization of culinary data (statistical analysis; text mining; natural language processing; machine learning);(d) Exposure to challenges and opportunities.
CSE121,Discrete Mathematics is the study of mathematical structures (objects) which are discrete; distinct in nature. This course provides the mathematical basis for the understanding of computers and modern computation. It is the backbone of computer science and has a lot of applications in cryptography and engineering.
DES504,Narratives are used in design as a technique to get insight into users; build empathy and access them emotionally. With stories; designers speak to increase the appeal of what they offer and provide a solid understanding of the users. For eg.; UX designers typically tell on-screen stories; weaving narratives to make users invest their emotions in our messages. Designers aim to engage users through their feelings; as opposed to describing design of the product or system from a functionalist/task-oriented viewpoint. An effective user experience depends on the success of users’ achieving their goals ‘usability-wise’. However; storytelling is the framework used by designers to reach users. The world can be experienced through metaphors; not bullet-point specifications; storytelling is the best way to relate to audiences. Effective storytelling means going beyond getting users emotionally invested; to keeping them engaged after their experiences; too; so they attach more meaning to designed products/services.Sketching/Drawing is used as medium both to form a conceptual understanding and execution of narrative as a tool of communication. Sketching/Drawing in Visual Commuication is a fundamental tool for Narratives; which is not limited to using the analogus pencil on paper or the digital tablet and pen. It is an activity that involves observation; visualisation and storytelling.
DES101,DESIGN DRAWINGBased on the premise that drawing is central to the design process this course focuses on drawing as a medium for observing; representing; conceptualizing; visualizing and communicating design ideas. The emphasis is on drawing by hand; which is the most direct and intuitive means we have to express our visual thoughts and perceptions. In direct response to our visual thoughts and perceptions; we develop an understanding of spatial concepts and the critical ability to think and visualize in three dimensions through the tactile nature of drawing.This course fosters understanding of drawing and sketching as a means to develop observational skills through the study of the environment and as a tool for visual representation; ideation/conceptualization; visualization and communication or presentation of design ideas through sketching and drawing from both observation and memory.VISUALIZATION DRAWINGVisualization is an act of thought or reflection. In design; we speculate and visualize what might be possible in the future. Drawing gives material existence to our conceptions so that they can be seen; assessed; and acted upon. The drawing out of these ideas; whether executed quickly or slowly; roughly or carefully; is necessarily speculative in nature. We can never determine beforehand precisely what the final outcome will be. The developing image on paper gradually takes on a life of its own and guides the exploration of a concept as it travels between mind and paper and back again. Drawing from the imagination addresses issues that arise as we think in a speculative manner to stimulate the design process; develop our design ideas through drawing; and plan how to present our design proposals in the best possible light. This course gives the students an overview of the generative and developmental stages of the design process and drawing as distinctly speculative in nature. Thoughts develop as a drawing progress; which can alter perceptions and suggest possibilities not yet conceived.
DES201/DES501,This course introduces students to the theoretical and practical aspects of design evolving processes. The course presents the varied palette of design from design of physical objects; to design of human-computer interactions; to design of services; to design of micro systems and connected/complex systems. It offers tasks that initiate the process of learning fundamental skills such as observation & representation; investigation; analyisation; synthesisation; conceptualization; reflections; projection; visualization & representation..Topics such as Design Processes; Design Perspectives; Design Context & Concerns; Problem Solving Methods; Idea Generation; User-Focused Thinking and Basic Communication are covered during the course. It also introduces students to various stages of problem solving process from problem identification to investigation and analysis of needs as well as tools and techniques used for generation; iteration; evolution and communication of ideas and design concepts.This course helps sensitize students to study the social; cultural and physical environment in which his/her design has to operate; so that the design has a meaning or relevance to the people concerned.Broadly; the course gives students the opportunity to develop essential design thinking skills such as exploring the designed space to identify problem; applying the design thinking process to problems; visualizing design solutions; refining final designs and communicating ideas in visually appropriate form through assignments and projects.
CSE580A,Knowledge Graphs (semantic descriptions of entities and their relationships) are heavily used in knowledge enabled applications across several domains such as life science; geoscience; healthcare; Internet of Things; smart cities etc. Commercial enterprises such as Google; Microsoft; Amazon; LinkedIn; IBM; GE; Siemens; Accenture; etc.; use knowledge graphs in several of their applications. Ontologies encode knowledge of a domain in a machine processable form and act as the schema for the data in the knowledge graphs. In this course; we will learn how to design ontologies to capture domain knowledge and use them to power intelligent applications.
DES513,This is a course about the current paradigm of Wearable Computing. In this course; we will cover the origins; pioneering contributions; and principles of Wearable Computing. With this foundation; we will initiate our exploration into the space by learning how to design physical (device form factor); digital (applications) as well as human (interaction techniques) aspects of Wearables. You will develop the skills needed to conduct design of these three interrelated elements and also get a chance to apply them on short assignments and student-selected group projects. We will also discuss and critique both seminal and cutting-edge research in the domain to help you identify opportunities for new research that may begin with your class projects.
CSE577,This course will be dealing with advanced topics in Internet of Things. This course is a sequel of the Internet of Things course which introduced students to basics of foundational IoT technologies.This course delves deeper into some of the technologies pertinent to IoT. Students are expected to learn by implementing protocols etc. in their programmming assignments. They will be exposed to some of the latest research findings in IoT and expected to perform thought exercises by writing research project proposals extending the frontiers of current IoT research.Finally; students will implement working prototypes of IoT systems inspired by algorithms proposed in research papers.
CSE559,
CSE793A,This course aims for analyzing the security of various cryptosystems. The course will befocusing mainly on the fundamentals of cryptanalysis techniques as mentioned: Differential Cryptanalyis Linear CryptanalysisMeet in the Middle Attack Rebound Attack Time-Memory Trade-off AttackHash function attacks (Damgaard's MD4 attack; Wang's attack on MD4; MD5; SHA-1) Attacks against RSA; Number Field Sieve Side channel attacks (Cache timing; Fault attacks; Memory remanence) Algebraic attacksQuantum Attacks (Shor's algorithm; Grover's algorithm) etc.
CSE 301/CSE 601,The course covers principles of compiler design including introduction to compiler technology; overview of compiler followed by in depthstudy of various phases and component of compilers including lexical analysis; syntax analysis; semantic analysis; intermediate codegeneration; run time environment as well as machine code generation and optimization. The student will learn writing a complete workingcompiler in a modular fashion through intensive lab assignments and will be exposed to some advanced topics in compilers
BIO545,The main aim of this elective course is to provide students a good background in Quantitative Biology and enabling them to implement various statistical methods in analyzing biological data and its visualization. The course will also provide basic introduction of applied biostatistics.
DES130,TBD
BIO361,
DES563,This course teaches the principles and practice of dug discovery; molecular mechanics and biomolecular simulations with an emphasis on the practical skills needed to perform and interpret simulations of biological macromolecules. In addition; this course will also introduce Molecular Docking technique that is essential for Computational Drug Design.
DES507,
BIO542,This course is designed for students having wide range of background like biology; medical science; pharmacology; bioinformatics; computer science. This course is divided in following three sections; i) Major challenges in the field of biomedical science; ii) Introduction/implementation of machine learning techniques for developing prediction models; and iii) solving biomedical problems using machine learning techniques. This course will be help students in developing novel methods for solving real-life problems in the field of biological and health sciences. Attempt will made to bridge gap between students and world class researchers; studentds will be exposed to highly accurate methods based on machine learning techniques (research papers).
BIO543,
ECE 518,This course provides fundamental knowledge required for many other courses in Analog; digital and Mixed signal IC design (Analog CMOS Circuit Design; Mixed Signal Design; Low Power Design and Digital VLSI Design). The course starts with an overview of semiconductors and their conduction mechanism. Then explains PN junction formation and operation of various types of two terminal semiconductor devices and BJTs. The discussion will be extended to MOSCAP and MOSFETs; which are very important elements in the modern IC design. In addition MOSFET short channel effects will also be explained as they are becoming highly significant with technology scaling. Fabrication process will also be covered.
CSE609,The objective of this course is to provide knowledge about concepts and methods of statistical analysis. Data can begenerated by machine or manually collected during surveys. All kinds of data-sets need analysis to the point such thatwe can make conclusions about the trend in the data. Hence statistical modelling and inference is often needed.Recently multiple kinds of statistical modelling approach have been suggested. Some statistical methods have beenimplemented as tools while some are implemented by users according to need of data-analysis. This course wouldprovide the basics of statistical inference and methods introducing some computational techniques to performmodelling of systems. Through this course student will also learn about weakness and strength of such statisticalmodelling methods which could guide them to distinguish or develop suitable analysis techniques.
CSE581,PG / UG
,PG / UG
CSE354/CSE554,
